Title,Source,Link
KDMP Syariah Bilelando Jadi Harapan Baru Pembangunan Ekonomi Kerakyatan,Detik.com,https://news.detik.com/berita/d-8242222/kdmp-syariah-bilelando-jadi-harapan-baru-pembangunan-ekonomi-kerakyatan
Badan Pengkajian MPR RI Bahas Reformasi Fiskal dan Tantangan Ekonomi RI,Detik.com,https://news.detik.com/berita/d-8242219/badan-pengkajian-mpr-ri-bahas-reformasi-fiskal-dan-tantangan-ekonomi-ri
Video: Bak Sungai Aare Swiss Rasa Lokal? Cek Sungai Ombilin di Sumbar!,Detik.com,https://20.detik.com/detikupdate/20251203-251203219/video-bak-sungai-aare-swiss-rasa-lokal-cek-sungai-ombilin-di-sumbar
"Tinjau Kampung Halaman, Andre Rosiade Beri Ribuan Sembako ke Warga Siteba",Detik.com,https://news.detik.com/berita/d-8242215/tinjau-kampung-halaman-andre-rosiade-beri-ribuan-sembako-ke-warga-siteba
"Video BNPB Update Jumlah Korban Bencana Sumatera: 770 Tewas, 463 Hilang",Detik.com,https://20.detik.com/detikupdate/20251203-251203216/video-bnpb-update-jumlah-korban-bencana-sumatera-770-tewas-463-hilang
Hakim Pemvonis Lepas Perkara Migor Pakai Duit Suap buat Beli Fortuner-HRV,Detik.com,https://news.detik.com/berita/d-8242212/hakim-pemvonis-lepas-perkara-migor-pakai-duit-suap-buat-beli-fortuner-hrv
"Dialog di UPI Bandung, Eddy Soeparno Terima Aspirasi soal Kurikulum Iklim",Detik.com,https://news.detik.com/berita/d-8242200/dialog-di-upi-bandung-eddy-soeparno-terima-aspirasi-soal-kurikulum-iklim
Gus Yahya Tegaskan Masih Menjabat Ketum PBNU,Detik.com,https://news.detik.com/foto-news/d-8241835/gus-yahya-tegaskan-masih-menjabat-ketum-pbnu
Hal Memberatkan Vonis 3 Hakim Terdakwa Suap Perkara Migor: Keserakahan,Detik.com,https://news.detik.com/berita/d-8242195/hal-memberatkan-vonis-3-hakim-terdakwa-suap-perkara-migor-keserakahan
Mendagri Dorong Solidaritas Daerah Percepat Pemulihan Bencana,Detik.com,https://news.detik.com/berita/d-8242189/mendagri-dorong-solidaritas-daerah-percepat-pemulihan-bencana
"Puan Terima Kunjungan Ketua MPR China, Bahas Bencana hingga Kerja Sama",Detik.com,https://news.detik.com/berita/d-8242187/puan-terima-kunjungan-ketua-mpr-china-bahas-bencana-hingga-kerja-sama
Golkar Desak Banjir Sumatera Jadi Bencana Nasional: Dampaknya Begitu Luas,Detik.com,https://news.detik.com/berita/d-8242149/golkar-desak-banjir-sumatera-jadi-bencana-nasional-dampaknya-begitu-luas
BRI Salurkan Bantuan untuk Warga Terdampak Bencana di Sumut-Sumbar,Detik.com,https://news.detik.com/berita/d-8242148/bri-salurkan-bantuan-untuk-warga-terdampak-bencana-di-sumut-sumbar
Bantuan Banjir Aceh Dipercepat Lewat Bandara Rembele,Detik.com,https://news.detik.com/foto-news/d-8241969/bantuan-banjir-aceh-dipercepat-lewat-bandara-rembele
Momen Kunjungan Wakapolri Buat Haru Istri Bupati Aceh Tamiang,Detik.com,https://news.detik.com/berita/d-8242144/momen-kunjungan-wakapolri-buat-haru-istri-bupati-aceh-tamiang
"Cara Ikut Lelang KPK HAKORDIA 9 Desember 2025, Cek Katalognya!",Detik.com,https://news.detik.com/berita/d-8241879/cara-ikut-lelang-kpk-hakordia-9-desember-2025-cek-katalognya
Material Kayu Menggunung Setelah Arus Deras Menerjang Tapanuli,Detik.com,https://news.detik.com/foto-news/d-8241248/material-kayu-menggunung-setelah-arus-deras-menerjang-tapanuli
Kapolri: Desk Ketenagakerjaan Polri Terus Berkontribusi Selesaikan Persoalan Buruh,Detik.com,https://news.detik.com/berita/d-8242125/kapolri-desk-ketenagakerjaan-polri-terus-berkontribusi-selesaikan-persoalan-buruh
Andre Rosiade Kembali Serahkan Bantuan untuk Korban Banjir Bandang Sumbar,Detik.com,https://news.detik.com/berita/d-8242124/andre-rosiade-kembali-serahkan-bantuan-untuk-korban-banjir-bandang-sumbar
3 Hakim Terdakwa Suap Vonis Lepas Perkara Migor Dihukum 11 Tahun Penjara!,Detik.com,https://news.detik.com/berita/d-8242123/3-hakim-terdakwa-suap-vonis-lepas-perkara-migor-dihukum-11-tahun-penjara
Akhirnya Warga Cikande Bisa Pulang ke Rumah Buntut Heboh Radiasi,Detik.com,https://news.detik.com/berita/d-8242119/akhirnya-warga-cikande-bisa-pulang-ke-rumah-buntut-heboh-radiasi
Gus Yahya Persilakan Proses soal Aliran Rp 100 M: Tapi Jangan Mengada-ada,Detik.com,https://news.detik.com/berita/d-8242115/gus-yahya-persilakan-proses-soal-aliran-rp-100-m-tapi-jangan-mengada-ada
Puan Minta Pemerintah Jaga Lisan-Lebih Berempati Tangani Bencana Sumatera,Detik.com,https://news.detik.com/berita/d-8242114/puan-minta-pemerintah-jaga-lisan-lebih-berempati-tangani-bencana-sumatera
Ratusan Makam Dipindahkan untuk Pembangunan Tol Yogya-Bawen,Detik.com,https://news.detik.com/foto-news/d-8241734/ratusan-makam-dipindahkan-untuk-pembangunan-tol-yogya-bawen
"Mendagri Jamin Beras Cukup, Minta Pemda Terdampak Bencana Koordinasi Bapanas",Detik.com,https://news.detik.com/berita/d-8242097/mendagri-jamin-beras-cukup-minta-pemda-terdampak-bencana-koordinasi-bapanas
"Video Percepat Distribusi Logistik, BNPB Lakukan Modifikasi Cuaca di Sumatera",Detik.com,https://20.detik.com/detikupdate/20251203-251203211/video-percepat-distribusi-logistik-bnpb-lakukan-modifikasi-cuaca-di-sumatera
Prabowo Bakal Terima Kunjungan Ketua MPR China di Istana Besok,Detik.com,https://news.detik.com/berita/d-8242082/prabowo-bakal-terima-kunjungan-ketua-mpr-china-di-istana-besok
"Peringati HDI 2025, Mensos Puji Karya Disabilitas yang Semakin Berkualitas",Detik.com,https://news.detik.com/berita/d-8242077/peringati-hdi-2025-mensos-puji-karya-disabilitas-yang-semakin-berkualitas
Komisi VIII DPR Cerita Banyak Mayat Korban Banjir Sumatera Belum Terjamah,Detik.com,https://news.detik.com/berita/d-8242073/komisi-viii-dpr-cerita-banyak-mayat-korban-banjir-sumatera-belum-terjamah
