Title,Source,Link
Apakah TKA Wajib untuk Masuk Kuliah? Begini Penjelasannya,CNN Indonesia,https://www.cnnindonesia.com/edukasi/20251013125618-569-1283933/apakah-tka-wajib-untuk-masuk-kuliah-begini-penjelasannya
"Dilema Guru Hadapi Polah 'Ajaib' Siswa, Harus Gimana?",CNN Indonesia,https://www.cnnindonesia.com/gaya-hidup/20251020154300-284-1286525/dilema-guru-hadapi-polah-ajaib-siswa-harus-gimana
"Video: Dari Osaka Expo 2025, Indonesia Raih Investasi USD 28 Miliar",CNBC Indonesia,https://www.cnbcindonesia.com/news/20251020172553-8-677632/video-dari-osaka-expo-2025-indonesia-raih-investasi-usd-28-miliar
"Kisah Pasangan Rampok Uang Rp 1,2 Triliun, Modusnya Tak Terduga",CNBC Indonesia,https://www.cnbcindonesia.com/tech/20251020152411-37-677559/kisah-pasangan-rampok-uang-rp-12-triliun-modusnya-tak-terduga
"Soal Sumur Rakyat, Bahlil: Sudah Punya Warga dari Zaman Belanda",CNBC Indonesia,https://www.cnbcindonesia.com/news/20251020194711-4-677673/soal-sumur-rakyat-bahlil-sudah-punya-warga-dari-zaman-belanda
Peringati Satu Tahun Kepemimpinan Prabowo Kementrans Gelar Open House,CNBC Indonesia,https://www.cnbcindonesia.com/news/20251020184648-8-677648/peringati-satu-tahun-kepemimpinan-prabowo-kementrans-gelar-open-house
Video: Tambang Ilegal Bikin Rugi Rp800 T - Warga India Borong Perak,CNBC Indonesia,https://www.cnbcindonesia.com/news/20251020172729-8-677631/video-tambang-ilegal-bikin-rugi-rp800-t--warga-india-borong-perak
"Media Asing Tiba-Tiba Sorot Bali, Laporkan Fenomena Ini",CNBC Indonesia,https://www.cnbcindonesia.com/news/20251020132507-4-677475/media-asing-tiba-tiba-sorot-bali-laporkan-fenomena-ini
"Bahlil Beberkan Alasan Prioritas Tambang untuk UMKM, Koperasi-Ormas",CNBC Indonesia,https://www.cnbcindonesia.com/news/20251020184541-4-677647/bahlil-beberkan-alasan-prioritas-tambang-untuk-umkm-koperasi-ormas
"Ada Oknum Tak Ingin Hilirisasi RI Maju, Bahlil: Karena Sudah Nyaman!",CNBC Indonesia,https://www.cnbcindonesia.com/news/20251020154902-4-677573/ada-oknum-tak-ingin-hilirisasi-ri-maju-bahlil-karena-sudah-nyaman
Berita Duka! Pendiri Tempo Scan Kartini Muljadi Meninggal Dunia,CNBC Indonesia,https://www.cnbcindonesia.com/market/20251020194256-17-677672/berita-duka-pendiri-tempo-scan-kartini-muljadi-meninggal-dunia
"Punya Modal Besar Ini, Industri Halal RI Coba Kalahkan Arab & Malaysia",CNBC Indonesia,https://www.cnbcindonesia.com/news/20251020185616-4-677654/punya-modal-besar-ini-industri-halal-ri-coba-kalahkan-arab-malaysia
Detik-Detik Sultan Brunei Hassanal Bolkiah Terjatuh di Atas Panggung,CNBC Indonesia,https://www.cnbcindonesia.com/news/20251020150248-7-677543/detik-detik-sultan-brunei-hassanal-bolkiah-terjatuh-di-atas-panggung
"Israel Langgar Gencatan Senjata Gaza, Trump Beri Respons Tak Terduga",CNBC Indonesia,https://www.cnbcindonesia.com/news/20251020131726-4-677472/israel-langgar-gencatan-senjata-gaza-trump-beri-respons-tak-terduga
Gunung Berapi Bangkit usai Tertidur Selama 700.000 Tahun,CNBC Indonesia,https://www.cnbcindonesia.com/lifestyle/20251020093411-33-677357/gunung-berapi-bangkit-usai-tertidur-selama-700000-tahun
"Tiba-tiba Muncul Gunung Baru di Jawa, Ahli Geologi Beri Penjelasan",CNBC Indonesia,https://www.cnbcindonesia.com/tech/20251020130121-37-677460/tiba-tiba-muncul-gunung-baru-di-jawa-ahli-geologi-beri-penjelasan
"Potret Pesawat Emirates Boeing 747 Jatuh ke Laut, Hidung & Ekor Pisah",CNBC Indonesia,https://www.cnbcindonesia.com/news/20251020084710-7-677329/potret-pesawat-emirates-boeing-747-jatuh-ke-laut-hidung-ekor-pisah
"Prabowo Ungkap The Invisible People di RI, Beri Peringatan ke Menteri",CNBC Indonesia,https://www.cnbcindonesia.com/news/20251020180641-4-677638/prabowo-ungkap-the-invisible-people-di-ri-beri-peringatan-ke-menteri
90% Proyek Hilirisasi RI Sampai 2040 Berasal dari Tambang,CNBC Indonesia,https://www.cnbcindonesia.com/news/20251020150715-4-677548/90-proyek-hilirisasi-ri-sampai-2040-berasal-dari-tambang
"Warga RI Buruan Aktifkan Akun, Biar Bisa Lapor SPT 2025 di Coretax",CNBC Indonesia,https://www.cnbcindonesia.com/news/20251020181324-4-677651/warga-ri-buruan-aktifkan-akun-biar-bisa-lapor-spt-2025-di-coretax
"Setahun Prabowo-Gibran, Kawasan Industri Baru RI Tambah 9",CNBC Indonesia,https://www.cnbcindonesia.com/news/20251020181359-4-677641/setahun-prabowo-gibran-kawasan-industri-baru-ri-tambah-9
"Air Hujan Jakarta Mengandung Mikroplastik, Ahli Jelaskan Penyebabnya",CNBC Indonesia,https://www.cnbcindonesia.com/lifestyle/20251020160238-33-677581/air-hujan-jakarta-mengandung-mikroplastik-ahli-jelaskan-penyebabnya
"TNI Siap Kirim 20.000 Personel ke Gaza, Prabowo: Kita Tak Boleh Lugu",CNBC Indonesia,https://www.cnbcindonesia.com/news/20251020175407-4-677634/tni-siap-kirim-20000-personel-ke-gaza-prabowo-kita-tak-boleh-lugu
"Nomor XL Hangus Bisa Aktif Lagi, Caranya Mudah",CNBC Indonesia,https://www.cnbcindonesia.com/tech/20251020153018-37-677562/nomor-xl-hangus-bisa-aktif-lagi-caranya-mudah
"Manufaktur RI Memang Tumbuh, Tapi Menperin Akui Kalah dari Negara Ini",CNBC Indonesia,https://www.cnbcindonesia.com/news/20251020160513-4-677582/manufaktur-ri-memang-tumbuh-tapi-menperin-akui-kalah-dari-negara-ini
"Belajar dari Soeharto, Setahun Prabowo Berhasil Swasembada Beras",CNBC Indonesia,https://www.cnbcindonesia.com/entrepreneur/20251020095032-25-677376/belajar-dari-soeharto-setahun-prabowo-berhasil-swasembada-beras
